Date,Open,High,Low,Close,Adj Close,Volume
2017-08-28,94.000000,94.099998,93.300003,93.900002,93.900002,1918125
2017-08-29,94.099998,94.199997,92.599998,93.199997,93.199997,4974606
2017-08-30,94.400002,95.000000,94.199997,94.800003,94.800003,4369206
2017-08-31,95.099998,95.199997,94.699997,95.000000,95.000000,5561655
2017-09-01,95.000000,95.000000,94.000000,94.300003,94.300003,3887771
2017-09-04,94.000000,94.199997,93.300003,93.599998,93.599998,1900377000
2017-09-05,93.599998,94.000000,92.599998,93.000000,93.000000,4423096
2017-09-06,92.699997,93.800003,92.500000,93.199997,93.199997,4428212
2017-09-07,93.300003,94.400002,93.199997,94.400002,94.400002,6328634
2017-09-08,95.000000,95.000000,93.900002,94.400002,94.400002,7761370
2017-09-11,94.900002,94.900002,92.599998,92.800003,92.800003,4307558
2017-09-12,93.300003,93.300003,91.099998,91.800003,91.800003,6542414
2017-09-13,89.000000,90.000000,88.800003,89.000000,89.000000,13201246
2017-09-14,88.300003,88.500000,86.300003,87.199997,87.199997,10733325
2017-09-15,87.000000,88.500000,87.000000,88.500000,88.500000,9492495
2017-09-18,89.000000,89.000000,86.599998,87.300003,87.300003,8771974
2017-09-19,87.199997,87.199997,85.500000,85.699997,85.699997,8140898
2017-09-20,85.300003,85.699997,84.000000,84.099998,84.099998,10555674
2017-09-21,83.500000,85.300003,83.199997,84.800003,84.800003,8679342
2017-09-22,84.199997,84.300003,81.199997,81.300003,81.300003,15238680
2017-09-25,81.000000,81.000000,77.699997,77.699997,77.699997,21545480
2017-09-26,77.699997,78.599998,76.099998,76.099998,76.099998,17408845
2017-09-27,79.000000,79.099998,77.500000,78.000000,78.000000,8938617
